billing_id,matter_id,substantiating_entry_id_1,substantiating_entry_id_2,substantiating_entry_id_3,substantiating_entry_id_4,substantiating_entry_id_5,billing_category,billing_start,billing_stop,billing_hours,billing_description,billing_substantiation,last_modified,activity_confidence,timing_confidence,confidence_rationale
1,1,18,,,,,Phone Call,2024-12-17 14:00:00,2024-12-17 14:30:00,0.5,Telephone conference with parent regarding transportation issues,,2025-05-01 19:41:45,conclusive,conclusive,
2,1,46,,,,,Review Documents,2024-12-09 09:30:00,2024-12-09 09:40:00,0.2,Review scanned document notification,,2025-05-01 19:41:45,conclusive,conclusive,
3,1,133,,,,,Draft Documents,2024-10-08 09:30:00,2024-10-08 11:30:00,2,Draft and send detailed IEE requirements email,,2025-05-01 19:41:45,conclusive,conclusive,
4,1,268,,,,,Conference With Attorney,2024-06-12 13:00:00,2024-06-12 14:00:00,1,Attend meeting to discuss independent evaluators,,2025-05-01 19:41:45,conclusive,conclusive,
5,1,327,,,,,Draft Documents,2024-12-17 20:40:00,2024-12-17 20:50:00,0.2,Draft and send urgent follow-up regarding transportation arrangements,,2025-05-01 19:41:45,conclusive,conclusive,
6,1,328,,,,,Draft Documents,2024-12-17 19:45:00,2024-12-17 20:05:00,0.3,Draft and send detailed explanation of transportation barriers and request for immediate District solution,,2025-05-01 19:41:45,conclusive,conclusive,
7,1,330,,,,,Draft Documents,2024-12-17 19:10:00,2024-12-17 19:20:00,0.2,Draft and send email regarding afternoon transportation arrangements,,2025-05-01 19:41:45,conclusive,conclusive,
8,1,331,,,,,Review Documents,2024-12-17 19:00:00,2024-12-17 19:10:00,0.1,Review district transportation plan and reimbursement offer,,2025-05-01 19:41:45,conclusive,conclusive,
9,1,332,,,,,Draft Documents,2024-12-17 18:15:00,2024-12-17 18:45:00,0.5,Draft and send detailed letter regarding settlement implementation failures and notice of potential motion,,2025-05-01 19:41:45,conclusive,conclusive,
10,1,333,,,,,Review Documents,2024-12-17 12:42:00,2024-12-17 12:47:00,0.1,Review ETL request for ROI documentation,,2025-05-01 19:41:45,conclusive,conclusive,
11,1,334,,,,,Draft Documents,2024-12-17 12:25:00,2024-12-17 12:30:00,0.1,Forward transportation concerns to team members,,2025-05-01 19:41:45,conclusive,conclusive,
12,1,335,,,,,Draft Documents,2024-12-17 12:00:00,2024-12-17 12:25:00,0.4,Draft and send urgent transportation concerns email,,2025-05-01 19:41:45,conclusive,conclusive,
13,1,336,,,,,Review Documents,2024-12-16 17:51:00,2024-12-16 17:55:00,0.1,Review district inquiry regarding representation documentation,,2025-05-01 19:41:45,conclusive,conclusive,
14,1,337,,,,,Brief Documents,2024-12-16 16:14:00,2024-12-16 16:18:00,0.1,Brief internal communication regarding response strategy,,2025-05-01 19:41:45,conclusive,conclusive,
15,1,338,,,,,Review Documents,2024-12-16 16:09:00,2024-12-16 16:14:00,0.1,Review district inquiry regarding representation status,,2025-05-01 19:41:45,conclusive,conclusive,
16,1,339,,,,,Draft Documents,2024-12-16 13:20:00,2024-12-16 13:36:00,0.3,Draft detailed response explaining legal basis for medical evaluation request,,2025-05-01 19:41:45,conclusive,conclusive,
17,1,340,,,,,Review Documents,2024-12-16 13:36:00,2024-12-16 13:42:00,0.1,Review email from school regarding evaluation funding scope,,2025-05-01 19:41:45,conclusive,conclusive,
18,1,341,,,,,Review Documents,2024-12-16 12:25:00,2024-12-16 12:30:00,0.1,Review opposing counsel objection to medical evaluation request,,2025-05-01 19:41:45,conclusive,conclusive,
19,1,342,,,,,Draft Documents,2024-12-16 09:15:00,2024-12-16 09:35:00,0.3,"Draft and send email regarding student status, evaluation request, and IEP meeting request",,2025-05-01 19:41:45,conclusive,conclusive,
20,1,343,,,,,Review Documents,2024-12-16 09:00:00,2024-12-16 09:10:00,0.2,Review case status and prepare case strategy note,,2025-05-01 19:41:45,conclusive,conclusive,
21,1,344,,,,,Review Documents,2024-12-13 15:56:00,2024-12-13 16:00:00,0.1,Review and respond to scheduling email,,2025-05-01 19:41:45,conclusive,conclusive,
22,1,345,,,,,Draft Documents,2024-12-13 15:45:00,2024-12-13 15:55:00,0.2,Draft and send request for additional contact details for school personnel,,2025-05-01 19:41:45,conclusive,conclusive,
23,1,346,,,,,Draft Documents,2024-12-13 06:00:00,2024-12-13 06:30:00,0.5,Draft and submit joint motion to withdraw BSEA hearing,,2025-05-01 19:41:45,conclusive,conclusive,
24,1,347,,,,,Draft Documents,2024-12-12 19:45:00,2024-12-12 20:10:00,0.4,Draft and send email regarding hearing withdrawal and transition planning concerns,,2025-05-01 19:41:45,conclusive,conclusive,
25,1,348,,,,,Review Documents,2024-12-12 18:36:00,2024-12-12 18:40:00,0.1,Review email from opposing counsel regarding hearing withdrawal,,2025-05-01 19:41:45,conclusive,conclusive,
26,1,349,,,,,Draft Documents,2024-12-12 13:45:00,2024-12-12 14:15:00,0.5,Draft and send detailed request for transition planning and supports,,2025-05-01 19:41:45,conclusive,conclusive,
27,1,350,,,,,Review Documents,2024-12-12 11:26:00,2024-12-12 11:30:00,0.1,Review district confirmation of placement start date,,2025-05-01 19:41:45,conclusive,conclusive,
28,1,351,,,,,Draft Documents,2024-12-11 14:45:00,2024-12-11 15:00:00,0.3,Draft and send follow-up email regarding start date and hearing withdrawal,,2025-05-01 19:41:45,conclusive,conclusive,
29,1,352,,,,,Draft Documents,2024-12-10 14:07:00,2024-12-10 14:10:00,0.1,Forward relevant communications to client,,2025-05-01 19:41:45,conclusive,conclusive,
30,1,353,,,,,Draft Documents,2024-12-10 12:15:00,2024-12-10 12:30:00,0.3,Draft and send initial request for placement implementation timeline,,2025-05-01 19:41:45,conclusive,conclusive,
31,1,354,,,,,Review Documents,2024-12-10 11:50:00,2024-12-10 12:00:00,0.2,Review district counsel request for hearing withdrawal,,2025-05-01 19:41:45,conclusive,conclusive,
32,1,355,,,,,Review Documents,2024-12-09 16:01:00,2024-12-09 16:05:00,0.1,Review signed agreement and send inquiry about logistics,,2025-05-01 19:41:45,conclusive,conclusive,
33,1,356,,,,,Review Documents,2024-12-09 15:59:00,2024-12-09 16:01:00,0.1,Review executed settlement agreement from district,,2025-05-01 19:41:45,conclusive,conclusive,
34,1,358,,,,,Draft Documents,2024-12-09 15:20:00,2024-12-09 15:30:00,0.2,Review and prepare executed settlement agreement documentation,,2025-05-01 19:41:45,conclusive,conclusive,
35,1,360,,,,,Conference Call,2024-12-09 14:30:00,2024-12-09 15:20:00,0.5,Conference call with opposing counsel regarding settlement agreement,,2025-05-02 21:39:32,conclusive,conclusive,
36,1,361,,,,,Draft Documents,2024-12-09 14:00:00,2024-12-09 14:05:00,0.1,Draft and send request for client signature,,2025-05-01 19:41:45,conclusive,conclusive,
37,1,362,,,,,Review Documents,2024-12-09 12:31:00,2024-12-09 12:35:00,0.1,Review and respond regarding settlement agreement,,2025-05-01 19:41:45,conclusive,conclusive,
38,1,363,,,,,Review Documents,2024-12-05 19:43:00,2024-12-05 19:53:00,0.1,Review scheduling confirmation,,2025-05-02 21:39:41,conclusive,conclusive,
39,1,364,,,,,Review Documents,2024-12-05 17:35:00,2024-12-05 17:40:00,0.1,Review and respond to scheduling request,,2025-05-01 19:41:45,conclusive,conclusive,
40,1,365,,,,,Draft Documents,2024-12-05 17:15:00,2024-12-05 17:20:00,0.1,Draft and send procedural suggestion email,,2025-05-01 19:41:45,conclusive,conclusive,
41,1,366,,,,,Draft Documents,2024-12-05 16:30:00,2024-12-05 16:50:00,0.3,Draft comprehensive response regarding delays and timeline,,2025-05-01 19:41:45,conclusive,conclusive,
42,1,367,,,,,Review Documents,2024-12-05 15:22:00,2024-12-05 15:30:00,0.1,Review district concerns about service implementation,,2025-05-01 19:41:45,conclusive,conclusive,
43,1,368,,,,,Review Documents,2024-12-05 10:45:00,2024-12-05 10:50:00,0.1,Review opposing counsel response regarding edits and hearing,,2025-05-01 19:41:45,conclusive,conclusive,
44,1,369,,,,,Review Documents,2024-12-04 03:56:00,2024-12-04 04:10:00,0.2,"Review documents, make necessary corrections, draft explanation and transmit signed documents",,2025-05-01 19:41:45,conclusive,conclusive,
45,1,370,,,,,Draft Documents,2024-12-03 05:15:00,2024-12-03 05:25:00,0.2,Prepare parent affidavit and transmit for review,,2025-05-01 19:41:45,conclusive,conclusive,
46,1,371,,,,,Review Documents,2024-11-26 14:03:00,2024-11-26 14:10:00,0.1,Review approved motion and confirmation,,2025-05-01 19:41:45,conclusive,conclusive,
47,1,372,,,,,Review Documents,2024-11-26 08:41:00,2024-11-26 08:50:00,0.2,Review client update regarding school incident,,2025-05-01 19:41:45,conclusive,conclusive,
48,1,373,,,,,Draft Documents,2024-11-26 03:00:00,2024-11-26 03:30:00,0.5,Prepare and send final documents to client for signature,,2025-05-01 19:41:45,conclusive,conclusive,
49,1,374,,,,,Review Documents,2024-11-25 10:02:00,2024-11-25 10:10:00,0.1,Review district-signed agreement,,2025-05-01 19:41:45,conclusive,conclusive,
50,1,375,,,,,Draft Documents,2024-11-21 15:59:00,2024-11-21 16:05:00,0.1,Draft and send follow-up request,,2025-05-01 19:41:45,conclusive,conclusive,
51,1,376,,,,,Review Documents,2024-11-19 16:20:00,2024-11-19 16:30:00,0.2,Review revised IEP package from district,,2025-05-01 19:41:45,conclusive,conclusive,
52,1,377,,,,,Draft Documents,2024-11-19 13:38:00,2024-11-19 13:42:00,0.1,Forward settlement status update,,2025-05-01 19:41:45,conclusive,conclusive,
53,1,378,,,,,Review Documents,2024-11-19 12:04:00,2024-11-19 12:10:00,0.1,Review response from opposing counsel,,2025-05-01 19:41:45,conclusive,conclusive,
54,1,379,,,,,Draft Documents,2024-11-19 10:30:00,2024-11-19 11:18:00,0.8,Comprehensive review of revised IEP and preparation of detailed response regarding necessary corrections,,2025-05-02 21:39:37,conclusive,conclusive,
55,1,380,,,,,Review Documents,2024-11-19 11:20:00,2024-11-19 11:25:00,0.1,Review and respond to language question,,2025-05-01 19:41:45,conclusive,conclusive,
56,1,381,,,,,Draft Documents,2024-11-18 14:00:00,2024-11-18 14:30:00,0.5,Draft and send comprehensive list of required corrections,,2025-05-01 19:41:45,conclusive,conclusive,
57,1,382,,,,,Draft Documents,2024-11-14 12:26:00,2024-11-14 12:31:00,0.1,Draft and send clarifying email to client,,2025-05-01 19:41:45,conclusive,conclusive,
58,1,383,,,,,Draft Documents,2024-11-13 14:00:00,2024-11-13 15:00:00,1,Comprehensive review and analysis of Safety Plan vs IEP provisions,,2025-05-01 19:41:45,conclusive,conclusive,
59,1,384,,,,,Draft Documents,2024-11-13 13:30:00,2024-11-13 14:00:00,0.5,Review settlement documents and draft detailed analysis for client,,2025-05-01 19:41:45,conclusive,conclusive,
60,1,385,,,,,Review Documents,2024-11-12 09:08:00,2024-11-12 09:15:00,0.1,Initial review of safety plan,,2025-05-01 19:41:45,conclusive,conclusive,
61,1,386,,,,,Review Documents,2024-11-12 09:00:00,2024-11-12 09:07:00,0.1,Review revised settlement agreement,,2025-05-01 19:41:45,conclusive,conclusive,
62,1,387,,,,,Review Documents,2024-11-11 09:52:00,2024-11-11 09:55:00,0.1,Review confirmation,,2025-05-01 19:41:45,conclusive,conclusive,
63,1,388,,,,,Draft Documents,2024-11-08 19:07:00,2024-11-08 19:10:00,0.1,Draft response regarding timeline specifications,,2025-05-01 19:41:45,conclusive,conclusive,
64,1,389,,,,,Review Documents,2024-11-08 18:03:00,2024-11-08 18:10:00,0.1,Review response and settlement conference status,,2025-05-01 19:41:45,conclusive,conclusive,
65,1,390,,,,,Draft Documents,2024-11-08 17:00:00,2024-11-08 17:15:00,0.3,Client consultation (0.3) and draft detailed email regarding settlement terms (0.4),,2025-05-01 19:41:45,conclusive,conclusive,
66,1,391,,,,,Client Consultation,2024-11-08 16:45:00,2024-11-08 17:00:00,0.3,Client consultation regarding placement decision,,2025-05-01 19:41:45,conclusive,conclusive,
67,1,392,,,,,Draft Documents,2024-11-08 15:45:00,2024-11-08 16:00:00,0.3,Draft and send request for direct settlement discussion authorization,,2025-05-01 19:41:45,conclusive,conclusive,
68,1,393,,,,,Draft Documents,2024-11-08 15:00:00,2024-11-08 15:30:00,0.5,Settlement strategy analysis and planning,,2025-05-01 19:41:45,conclusive,conclusive,
69,1,394,,,,,Draft Documents,2024-11-08 14:45:00,2024-11-08 14:55:00,0.2,Review and forward settlement agreement to client,,2025-05-01 19:41:45,conclusive,conclusive,
70,1,395,,,,,Draft Documents,2024-11-08 14:00:00,2024-11-08 14:30:00,0.5,Comprehensive review of draft settlement agreement,,2025-05-01 19:41:45,conclusive,conclusive,
71,1,396,,,,,Draft Documents,2024-11-08 10:15:00,2024-11-08 10:45:00,0.5,Preparation of settlement review checklist and initial analysis,,2025-05-01 19:41:45,conclusive,conclusive,
72,1,397,,,,,Review Documents,2024-11-08 10:11:00,2024-11-08 10:15:00,0.1,Initial review of received settlement agreement,,2025-05-01 19:41:45,conclusive,conclusive,
73,1,398,,,,,Review Documents,2024-11-06 14:54:00,2024-11-06 15:00:00,0.1,Review case status and send follow-up email regarding IEE timeline and settlement documentation,,2025-05-01 19:41:45,conclusive,conclusive,
74,1,399,,,,,Draft Documents,2024-11-06 14:00:00,2024-11-06 14:20:00,0.3,Draft and send detailed email advocating for immediate school visit arrangement and addressing enrollment barriers,,2025-05-01 19:41:45,conclusive,conclusive,
75,1,400,,,,,Draft Documents,2024-11-05 12:35:00,2024-11-05 12:47:00,0.2,Draft comprehensive response regarding implementation delays with deadline,,2025-05-01 19:41:45,conclusive,conclusive,
76,1,401,,,,,Draft Documents,2024-11-05 12:20:00,2024-11-05 12:35:00,0.3,Update client regarding advocacy efforts and next steps,,2025-05-01 19:41:45,conclusive,conclusive,
